Name,AREA,AnydoTag,Archivos multimedia,BLOQUE,C-TEXT,Fórmula,ID,Nombre,Rollup,TITULO,Tags,URL
C386,https://www.notion.so/2a5622cf315b816cbcd9f82358750c97,&C386-STA,,B38 (https://www.notion.so/B38-2a5622cf315b81f3a41ef7fd82dc8e98?pvs=21),C386-STA,@C386,35,STA,,,,
C384,https://www.notion.so/2a5622cf315b816cbcd9f82358750c97,&C384-INF,,B38 (https://www.notion.so/B38-2a5622cf315b81f3a41ef7fd82dc8e98?pvs=21),C384-INF,@C384,34,INF,,,,
C387,https://www.notion.so/2e8622cf315b809da630f86db82ee5d0,&C387-IAA,,@B11-CVT  (https://www.notion.so/2e8622cf315b80f0a7c4f21290086b1a?pvs=21),C387-IAA,@C387,36,IAA,,,,
C390,https://www.notion.so/2a5622cf315b816cbcd9f82358750c97,&C390-DES,,B39 (https://www.notion.so/B39-2a5622cf315b81638776dfc5d8fc3bce?pvs=21),C390-DES,@C390,37,DES,,,,
C397,https://www.notion.so/2a5622cf315b816cbcd9f82358750c97,&C397-FIS,,B39 (https://www.notion.so/B39-2a5622cf315b81638776dfc5d8fc3bce?pvs=21),C397-FIS,@C397,38,FIS,,,,
C398,https://www.notion.so/2a5622cf315b816cbcd9f82358750c97,&C398-MEN,,B39 (https://www.notion.so/B39-2a5622cf315b81638776dfc5d8fc3bce?pvs=21),C398-MEN,@C398,39,MEN,,,,
C399,https://www.notion.so/2a5622cf315b816cbcd9f82358750c97,&C399-MUS,,B39 (https://www.notion.so/B39-2a5622cf315b81638776dfc5d8fc3bce?pvs=21),C399-MUS,@C399,40,MUS,,,,
C0a1,https://www.notion.so/2a5622cf315b8157905ad77fe466d868,&C0a1-INX,,B0C (https://www.notion.so/B0C-2a5622cf315b8108abfaed5629feac44?pvs=21),C0a1-INX,@C0a1,42,INX,,,,
C0b2,https://www.notion.so/2a5622cf315b8157905ad77fe466d868,&C0b2-ABC,,B0C (https://www.notion.so/B0C-2a5622cf315b8108abfaed5629feac44?pvs=21),C0b2-ABC,@C0b2,43,ABC,,,,
C0c3,https://www.notion.so/2a5622cf315b8157905ad77fe466d868,&C0c3-PLA,,B0C (https://www.notion.so/B0C-2a5622cf315b8108abfaed5629feac44?pvs=21),C0c3-PLA,@C0c3,44,PLA,,,,
C400,https://www.notion.so/2a5622cf315b81e49546d2ece6dbdd49,&C400-REF,,B40 (https://www.notion.so/B40-2a5622cf315b8105a6dbfec825d392e1?pvs=21),C400-REF,@C400,46,REF,,,,
C4x0,https://www.notion.so/2a5622cf315b81e49546d2ece6dbdd49,&C4x0-LIB,,B4X (https://www.notion.so/B4X-2a5622cf315b81eea56cfefd614140a1?pvs=21),C4x0-LIB,@C4x0,47,LIB,,,,
C4x1,https://www.notion.so/2a5622cf315b81e49546d2ece6dbdd49,&C4x1-FIC,,B4X (https://www.notion.so/B4X-2a5622cf315b81eea56cfefd614140a1?pvs=21),C4x1-FIC,@C4x1,48,FIC,,,,
C4x2,https://www.notion.so/2a5622cf315b81e49546d2ece6dbdd49,&C4x2-SCI,,B4X (https://www.notion.so/B4X-2a5622cf315b81eea56cfefd614140a1?pvs=21),C4x2-SCI,@C4x2,49,SCI,,,,
C4x3,https://www.notion.so/2a5622cf315b81e49546d2ece6dbdd49,&C4x3-ENS,,B4X (https://www.notion.so/B4X-2a5622cf315b81eea56cfefd614140a1?pvs=21),C4x3-ENS,@C4x3,50,ENS,,,,
